property_id,similar_property_ids
OLRS-0020529,"['COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0090964', 'RPLU-798323224619', 'OLRS-0025345']"
OLRS-0023460,"['COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0025345', 'RPLU-798323224619', 'OLRS-0090964']"
OLRS-23686,"['OLRS-2094098', 'COMP-1705258241987142361', 'OLRS-00011497693', 'RPLU-798323224619', 'OLRS-00011317206']"
OLRS-0025345,"['OLRS-0094152', 'COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0090964', 'RPLU-798323224619']"
OLRS-0025796,"['RLMX-99756', 'RPLU-850722660979', 'OLRS-0096255', 'RLMX-012130023559', 'OLRS-00010096255']"
OLRS-0050908,"['RPLU-850723024926', 'RLMX-99756', 'RPLU-850722660979', 'OLRS-0098170', 'RLMX-012130023559']"
OLRS-0065265,"['RLMX-99756', 'RPLU-850722660979', 'OLRS-0097195', 'RLMX-012130023559', 'OLRS-0097364']"
OLRS-0065786,"['OLRS-00010065786', 'OLRS-0098167', 'RLMX-100566', 'OLRS-00010094384', 'OLRS-2085821']"
OLRS-0070189,"['PRCH-35111790', 'RLMX-99756', 'RPLU-850722660979', 'OLRS-0025345', 'RLMX-012130023559']"
OLRS-0072534,"['OLRS-00010072534', 'COMP-1705258241987142361', 'OLRS-2094098', 'RPLU-798323224619', 'OLRS-00010084525']"
OLRS-0079208,"['COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-00010094384', 'RPLU-798323224619', 'OLRS-00010065786']"
OLRS-0083821,"['RLMX-99756', 'RPLU-850722660979', 'OLRS-0098170', 'RLMX-012130023559', 'OLRS-0098165']"
OLRS-0090964,"['RPLU-33421742655', 'COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0020529', 'RPLU-798323224619']"
RLMX-91050,"['RLMX-101846', 'OLRS-0098167', 'RLMX-100566', 'RLMX-101845', 'OLRS-2085821']"
RLMX-92052,"['RLMX-100669', 'RLMX-99756', 'RPLU-850722660979', 'COMP-1676878587171509657', 'RLMX-012130023559']"
OLRS-0092944,"['OLRS-0098167', 'RLMX-100566', 'RPLU-33423245474', 'OLRS-2085821', 'RPLU-5123146118']"
RLMX-93017,"['COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1639260620393536617', 'RPLU-798323224619', 'COMP-1653087286297412553']"
OLRS-0093334,"['OLRS-0096484', 'RLMX-99756', 'RPLU-850722660979', 'RLMX-012130023559', 'OLRS-2098906']"
RLMX-93358,"['OLRS-0098167', 'RLMX-100566', 'RLMX-103083', 'OLRS-2085821', 'COMP-1699481757370922057']"
OLRS-0094127,"['RPLU-1086923183751', 'RLMX-104191', 'OLRS-0097195', 'OLRS-00010029642', 'OLRS-0097708']"
OLRS-0094152,"['COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0001158983', 'RPLU-798323224619', 'OLRS-0020529']"
RLMX-94223,"['RLMX-99756', 'RPLU-850722660979', 'PRCH-35184789', 'RLMX-012130023559', 'RLMX-102626']"
OLRS-0094389,"['RLMX-99756', 'RPLU-850722660979', 'RLMX-98727', 'RLMX-012130023559', 'RLMX-100211']"
RLMX-94462,"['RLMX-103575', 'OLRS-0098167', 'RLMX-100566', 'COMP-1647940439374622817', 'OLRS-2085821']"
OLRS-0094839,"['OLRS-0098167', 'RLMX-100566', 'OLRS-0094152', 'OLRS-2085821', 'RPLU-1032523154540']"
RLMX-95058,"['RLMX-103520', 'OLRS-2094098', 'RLMX-101949', 'COMP-1705258241987142361', 'RPLU-798323224619']"
OLRS-0095254,"['COMP-1705258241987142361', 'OLRS-2094098', 'OLRS-0097708', 'RPLU-798323224619', 'OLRS-00010096255']"
RLMX-95267,"['RLMX-98551', 'OLRS-0098167', 'RLMX-100566', 'OLRS-2085821', 'COMP-1687705570193539785']"
RLMX-95776,"['RLMX-97561', 'OLRS-0098167', 'RLMX-100566', 'RLMX-101199', 'OLRS-2085821']"
OLRS-0095862,"['RPLU-33421742655', 'COMP-1705258241987142361', 'OLRS-2094098', 'COMP-1652389380779563401', 'RPLU-798323224619']"
RLMX-96025,"['OLRS-0098167', 'RLMX-100566', 'RLMX-004590011076', 'OLRS-2085821', 'COMP-1683394632151751489']"
OLRS-0096053,"['RPLU-1086923183751', 'RLMX-104191', 'COMP-1517462717684409937', 'OLRS-00010029642', 'RLMX-102595']"
OLRS-0096253,"['OLRS-0097081', 'RPLU-1086923183751', 'RLMX-104191', 'OLRS-0098170', 'OLRS-00010029642']"
OLRS-0096255,"['OLRS-00010096255', 'RPLU-850723024926', 'RLMX-99756', 'RPLU-850722660979', 'RLMX-012130023559']"
OLRS-0096484,"['OLRS-0093334', 'RLMX-99756', 'RPLU-850722660979', 'RLMX-012130023559', 'OLRS-2098906']"
OLRS-0096726,"['RLMX-104395', 'OLRS-0096963', 'RLMX-101839', 'RLMX-98727', 'RLMX-101710']"
OLRS-0096963,"['OLRS-0096964', 'OLRS-0098183', 'OLRS-0097488', 'RLMX-101839', 'RLMX-104395']"
OLRS-0096964,"['OLRS-0096963', 'OLRS-0098183', 'OLRS-0097488', 'RLMX-101839', 'RLMX-104395']"
OLRS-0097050,"['OLRS-0097122', 'RLMX-99756', 'RPLU-850722660979', 'RLMX-012130023559', 'RPLU-33423151890']"
OLRS-0097081,"['RPLU-1086923059855', 'RLMX-98551', 'RPLU-1086923183751', 'RLMX-104191', 'OLRS-0079208']"
OLRS-0097083,"['RPLU-1086923183751', 'RLMX-104191', 'OLRS-0095254', 'OLRS-00010029642', 'OLRS-0065265']"
OLRS-0097084,"['RLMX-98727', 'OLRS-0098167', 'RLMX-100566', 'COMP-1652625139931046953', 'OLRS-2085821']"
OLRS-0097122,"['OLRS-0097050', 'RLMX-99756', 'RPLU-850722660979', 'RLMX-012130023559', 'RPLU-33423151890']"
OLRS-0097153,"['RLMX-99756', 'RPLU-850722660979', 'OLRS-0098049', 'RLMX-012130023559', 'OLRS-00010065786']"
OLRS-0097167,"['OLRS-0097081', 'RPLU-1086923059855', 'RPLU-1086923183751', 'RLMX-104191', 'OLRS-0083821']"
OLRS-0097195,"['OLRS-0098167', 'RLMX-100566', 'OLRS-0097364', 'OLRS-2085821', 'OLRS-0096255']"
OLRS-0097364,"['OLRS-0098167', 'OLRS-0097195', 'OLRS-0097776', 'RLMX-100566', 'OLRS-00010092907']"
OLRS-0097471,"['OLRS-2085821', 'OLRS-0098167', 'RLMX-100566', 'OLRS-0094127', 'OLRS-0097708']"
OLRS-0097488,"['OLRS-0096963', 'OLRS-0096964', 'OLRS-0098183', 'RLMX-101839', 'RLMX-104395']"
RLMX-97561,"['RLMX-98727', 'OLRS-0098167', 'RLMX-100566', 'COMP-1652651194763197713', 'OLRS-2085821']"
